edge,r,p,q
e131,0.17424814461114754,1.5061370647722483e-06,3.2179651695262765e-06
e132,0.14320156237542347,8.033961823368514e-05,0.0001259261501930005
e133,0.17649351272282054,1.0969838752612356e-06,2.4150878545965913e-06
e134,0.13911232607771282,0.0001283236002197139,0.0001948450819756071
e135,0.16088633322855944,9.14527035212411e-06,1.6885403600600276e-05
e136,0.15813568325369623,1.3028397465293743e-05,2.34014901669235e-05
e137,0.1992916113695904,3.486607884712012e-08,1.0685892023066231e-07
e138,0.1574400643481894,1.4234865078387596e-05,2.5348887253683503e-05
e139,0.18023399146316724,6.411837796695111e-07,1.4836694436538687e-06
e140,0.1479663943783591,4.5810235265332854e-05,7.482686614596668e-05
e141,0.1280572119032537,0.0004272174035851842,0.0005995928014207747
e142,0.13648268223007468,0.00017225799275994157,0.0002565434856999579
e143,0.11314964859633875,0.0018724208251828614,0.0024183005205827457
e144,0.1712624191932996,2.2814958731012935e-06,4.700462560794673e-06
e145,0.2591850411209811,5.038856918116234e-13,5.9123380112330815e-12
e146,0.19555900734176357,6.312843835444674e-08,1.816448703374046e-07
e147,0.23980462498025223,2.6103445532574884e-11,1.8131189043568594e-10
e148,0.2580762053314581,6.373317220528936e-13,7.210290658813293e-12
e149,0.2697688823912503,5.05702939634527e-14,8.007352726475077e-13
e150,0.17384790057986338,1.5930165023980288e-06,3.3843309915363267e-06
e151,0.13986887926425862,0.00011778657256080175,0.00017997180543304322
e152,0.1294634501247985,0.00036848362964540376,0.0005220949967919924
e153,0.13617263552857586,0.00017828157399180227,0.0002648998224771795
e154,0.17661652533308267,1.0779727899105377e-06,2.3769150713816843e-06
e155,0.12823870179105223,0.0004191749653167591,0.0005886790268033526
e156,0.1524510768777832,2.6571959420394077e-05,4.531122471858116e-05
e157,0.0471083538533963,0.196612687351875,0.20869385952113895
e158,0.17784512690760138,9.04667736002981e-07,2.0230237045127903e-06
e159,0.124890660229241,0.0005928407624446814,0.000814015812643977
e160,0.13836418012978935,0.0001396106003908006,0.00021088894396363534
e161,0.2245053567136667,4.661956819733174e-10,2.3020580822007487e-09
e162,0.170968654551252,2.3757384698908187e-06,4.877960746061421e-06
e163,0.1964743128568175,5.463400327516109e-08,1.5948608848110688e-07
e164,0.2524000517387433,2.08506909781351e-12,1.9958092855453993e-11
e165,0.21730862957813968,1.6871959778457287e-09,7.180325055417024e-09
e166,0.20938958413383796,6.603744368216741e-09,2.404217214187946e-08
e167,0.2004471820561711,2.8944966820655307e-08,9.03395294433878e-08
e168,0.08150695617058085,0.025310766008294235,0.028980681447931835
e169,0.1590788087180681,1.1547341845014631e-05,2.096069531294273e-05
