edge,r,p,q
e135,0.1991571614816048,3.5626775889734727e-08,7.533448519878027e-08
e136,0.26117199149686926,3.298242874810057e-13,1.7263291217443485e-12
e137,0.23751968421125172,4.067103636220847e-11,1.407864022444588e-10
e138,0.20177142530172146,2.33536575260903e-08,5.086327949755904e-08
e139,0.21346076686116083,3.296018703239302e-09,8.194749149732897e-09
e140,0.23300396719163746,9.639702584713691e-11,3.1212183767621617e-10
e141,0.20373304008137802,1.6947663294780498e-08,3.774155098099059e-08
e142,0.15528685300757253,1.867985899113734e-05,2.7324925805179774e-05
e143,0.16175284302624565,8.17048928877924e-06,1.2449673571723344e-05
e144,0.2317360265253771,1.2243594578866183e-10,3.895244318456228e-10
e145,0.30887515710024926,4.146068726071108e-18,6.713325276551265e-17
e146,0.19444555434714306,7.519192526081581e-08,1.5114336491820552e-07
e147,0.2501004040253291,3.342634178902752e-12,1.4180008561109522e-11
e148,0.30835755618414423,4.7416599037734536e-18,7.56081987861312e-17
e149,0.31200888600100984,1.8290584051255913e-18,3.270284120574956e-17
e150,0.2332133802473898,9.26518700933374e-11,3.008766669153744e-10
e151,0.19639592907920878,5.531583414719729e-08,1.1356495404201239e-07
e152,0.1860476181193571,2.7214877889049455e-07,5.048248228859846e-07
e153,0.179026484076729,7.634885448214135e-07,1.331821707744226e-06
e154,0.19905451688275017,3.6218312462476774e-08,7.649590511603564e-08
e155,0.18691280476470742,2.390039288542513e-07,4.4708825971128607e-07
e156,0.2520411296965578,2.2451574886422523e-12,9.919767767313682e-12
e157,0.12370872148257268,0.0006686802972021606,0.0008325557100871549
e158,0.15526599412168976,1.8728769671966353e-05,2.739251186771501e-05
e159,0.13775916284494785,0.0001494140061824459,0.00019816973627237225
e160,0.16525776931489064,5.148134810260165e-06,8.043960641031507e-06
e161,0.26957693661129484,5.277167053991636e-14,3.2807130388763996e-13
e162,0.17594168385541362,1.1863012764970723e-06,2.016175198760931e-06
e163,0.22661522327418962,3.170714331263939e-10,9.38388090305657e-10
e164,0.26295117382469657,2.249849741969387e-13,1.2222770915968005e-12
e165,0.2753991395405386,1.4271934781620643e-14,1.0082055454534994e-13
e166,0.2551326667465407,1.182719242968509e-12,5.530101723466478e-12
e167,0.25123872651737833,2.6478100970520933e-12,1.1522287542387198e-11
e168,0.12067557269373501,0.0009064129457989027,0.0011147405983189028
e169,0.21131189694224825,4.764763614453118e-09,1.1544964803070382e-08
e170,0.17057986178591342,2.5062153651525027e-06,4.070988961434561e-06
e171,0.19480926140374533,7.102514521125257e-08,1.4327424122695654e-07
e172,0.3006362512311598,3.4029471960029546e-17,4.377417530734247e-16
e173,0.23141073165434473,1.3015269704169992e-10,4.121640151384196e-10
e174,0.19878110078422126,3.784076065698027e-08,7.973646093539891e-08
e175,0.2515988074651654,2.459060078461269e-12,1.0776210872230885e-11
e176,0.1745649622862879,1.4406089613214499e-06,2.42216759017941e-06
e177,0.20871478821313105,7.399966150965323e-09,1.741683340085274e-08
e178,0.16628676385653743,4.487053862789907e-06,7.065387867504285e-06
e179,0.19148380297249354,1.1913490513665732e-07,2.3254385602937524e-07
e180,0.18239767075261695,4.675747949104811e-07,8.402328353547566e-07
e181,0.30158815964013214,2.6773943470282798e-17,3.528486589792236e-16
e182,0.22688429255621115,3.0177819325834195e-10,8.96658006487502e-10
e183,0.2076187351772545,8.895701340382939e-09,2.0663529435464046e-08
e184,0.1760129546432602,1.1743847052644859e-06,1.99694570919963e-06
e185,0.14690115789084762,5.201872759324467e-05,7.234884181684811e-05
e186,0.2548843280521634,1.2456048114240265e-12,5.792833780635225e-12
e187,0.11986504881644429,0.0009820376189129721,0.001204397178378414
e188,0.17102797300770448,2.35641291954012e-06,3.847125859286929e-06
e189,0.2837645989078582,2.0624147808665486e-15,1.7405451288907682e-14
e190,0.2613278227870455,3.189937338447672e-13,1.6744857039068498e-12
e191,0.23410541071736257,7.822797229137529e-11,2.572268090876352e-10
e192,0.16573041117529289,4.833686054586245e-06,7.57642977995166e-06
e193,0.29686124072037307,8.731103263709243e-17,1.0214518221505817e-15
e194,0.23103639282146898,1.396207974496153e-10,4.3990719905752765e-10
e195,0.26927029614826076,5.648500338470388e-14,3.49068495019509e-13
e196,0.1429437734657249,8.277783614662158e-05,0.00011259596304290974
e197,0.12141240382355363,0.000842375040757303,0.0010392599696881792
e198,0.20702086307240836,9.831222089035038e-09,2.2685681768529368e-08
e199,0.2546313573477598,1.3130272003881435e-12,6.079395367083307e-12
e200,0.257222261942355,7.631579343359156e-13,3.706820330311135e-12
e201,0.12611625853846758,0.000522697421226198,0.000657959306875915
e202,0.2228187931734595,6.32701726419849e-10,1.7796133365024728e-09
e203,0.21767769630181874,1.581193774408303e-09,4.157737329641283e-09
e204,0.30039940942993815,3.611659577247034e-17,4.619024780669407e-16
